category,model,number_of_apps
text-generation,gpt2,1211
text-generation,baffo32/decapoda-research-llama-7B-hf,0
text-generation,distilgpt2,110
text-generation,tiiuae/falcon-40b-instruct,61
text-generation,bigscience/bloom-560m,82
text-generation,mistralai/Mixtral-8x7B-Instruct-v0.1,256
text-generation,meta-llama/Llama-2-7b-chat-hf,605
text-generation,davidkim205/komt-mistral-7b-v1,4
text-generation,teknium/OpenHermes-2-Mistral-7B,3
text-generation,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ,0
text-generation,mistralai/Mistral-7B-v0.1,244
text-generation,h2oai/h2ogpt-4096-llama2-7b-chat,8
text-generation,meta-llama/Llama-2-7b-hf,110
text-generation,facebook/opt-125m,82
text-generation,TheBloke/vicuna-7B-v1.3-GPTQ,0
text-generation,petals-team/StableBeluga2,6
text-generation,TheBloke/Wizard-Vicuna-7B-Uncensored-GPTQ,3
text-generation,microsoft/phi-2,67
text-generation,HuggingFaceM4/tiny-random-LlamaForCausalLM,0
text-generation,openai-community/gpt2-large,1
